2025-04-30 12:46:32 Starting XGBoost Game Outcome Predictions

     eta max_depth min_child_weight subsample colsample_bytree
1   0.01         3                1       0.8              0.8
2   0.10         3                1       0.8              0.8
3   0.30         3                1       0.8              0.8
4   0.01         5                1       0.8              0.8
5   0.10         5                1       0.8              0.8
6   0.30         5                1       0.8              0.8
7   0.01         7                1       0.8              0.8
8   0.10         7                1       0.8              0.8
9   0.30         7                1       0.8              0.8
10  0.01         3                3       0.8              0.8
11  0.10         3                3       0.8              0.8
12  0.30         3                3       0.8              0.8
13  0.01         5                3       0.8              0.8
14  0.10         5                3       0.8              0.8
15  0.30         5                3       0.8              0.8
16  0.01         7                3       0.8              0.8
17  0.10         7                3       0.8              0.8
18  0.30         7                3       0.8              0.8
19  0.01         3                5       0.8              0.8
20  0.10         3                5       0.8              0.8
21  0.30         3                5       0.8              0.8
22  0.01         5                5       0.8              0.8
23  0.10         5                5       0.8              0.8
24  0.30         5                5       0.8              0.8
25  0.01         7                5       0.8              0.8
26  0.10         7                5       0.8              0.8
27  0.30         7                5       0.8              0.8
28  0.01         3                1       0.9              0.8
29  0.10         3                1       0.9              0.8
30  0.30         3                1       0.9              0.8
31  0.01         5                1       0.9              0.8
32  0.10         5                1       0.9              0.8
33  0.30         5                1       0.9              0.8
34  0.01         7                1       0.9              0.8
35  0.10         7                1       0.9              0.8
36  0.30         7                1       0.9              0.8
37  0.01         3                3       0.9              0.8
38  0.10         3                3       0.9              0.8
39  0.30         3                3       0.9              0.8
40  0.01         5                3       0.9              0.8
41  0.10         5                3       0.9              0.8
42  0.30         5                3       0.9              0.8
43  0.01         7                3       0.9              0.8
44  0.10         7                3       0.9              0.8
45  0.30         7                3       0.9              0.8
46  0.01         3                5       0.9              0.8
47  0.10         3                5       0.9              0.8
48  0.30         3                5       0.9              0.8
49  0.01         5                5       0.9              0.8
50  0.10         5                5       0.9              0.8
51  0.30         5                5       0.9              0.8
52  0.01         7                5       0.9              0.8
53  0.10         7                5       0.9              0.8
54  0.30         7                5       0.9              0.8
55  0.01         3                1       1.0              0.8
56  0.10         3                1       1.0              0.8
57  0.30         3                1       1.0              0.8
58  0.01         5                1       1.0              0.8
59  0.10         5                1       1.0              0.8
60  0.30         5                1       1.0              0.8
61  0.01         7                1       1.0              0.8
62  0.10         7                1       1.0              0.8
63  0.30         7                1       1.0              0.8
64  0.01         3                3       1.0              0.8
65  0.10         3                3       1.0              0.8
66  0.30         3                3       1.0              0.8
67  0.01         5                3       1.0              0.8
68  0.10         5                3       1.0              0.8
69  0.30         5                3       1.0              0.8
70  0.01         7                3       1.0              0.8
71  0.10         7                3       1.0              0.8
72  0.30         7                3       1.0              0.8
73  0.01         3                5       1.0              0.8
74  0.10         3                5       1.0              0.8
75  0.30         3                5       1.0              0.8
76  0.01         5                5       1.0              0.8
77  0.10         5                5       1.0              0.8
78  0.30         5                5       1.0              0.8
79  0.01         7                5       1.0              0.8
80  0.10         7                5       1.0              0.8
81  0.30         7                5       1.0              0.8
82  0.01         3                1       0.8              0.9
83  0.10         3                1       0.8              0.9
84  0.30         3                1       0.8              0.9
85  0.01         5                1       0.8              0.9
86  0.10         5                1       0.8              0.9
87  0.30         5                1       0.8              0.9
88  0.01         7                1       0.8              0.9
89  0.10         7                1       0.8              0.9
